title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Lexicografi sejarah & manusia Betawi",null,"History and social life and customs of Betawi people.","4 volumes",null,null,null,null,null,null,"9786027516007",null,"2015309285",null,null,"Indonesian",null,null,null,null,"/books/OL30780434M",55,"134",39,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Lexicografi sejarah & manusia Betawi",null,"History and social life and customs of Betawi people.","4 volumes",null,null,null,null,null,null,"9786021516007",null,"2015309285",null,null,"Indonesian",null,null,null,null,"/books/OL30780434M",55,"134",39,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Insured letters and boxes agreement (together with detailed regulations), Tokyo, 14 November, 1969.",null,null,"78 p.",null,null,null,null,null,"0101476906",null,null,"74182087",null,null,"English",null,null,null,null,"/books/OL5109592M",130,"135",156,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Literature and moral understanding","a philosophical essay on ethics, aesthetics, education and culture",null,"xii, 259 p.",null,null,null,null,null,"0198242328",null,null,null,null,null,"English",null,null,null,null,"/books/OL20696504M",130,"136",158,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"52 Reasons Why I Love You","A Fill in Book  - Funny Valentines Day Gift for Men/Boyfriend/Husband/Him - Funny Birthday Gifts for Him",null,"54",null,null,null,null,"0.123",null,"9781653024667",null,null,null,null,"English",null,null,null,null,"/books/OL41701790M",130,"4",19,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Arthur Maria Rabenalts Filme 1934 bis 1945","eine dramaturgische Analyse",null,"172 p.",null,null,null,null,null,null,"9783869380148",null,null,null,null,"German",null,null,null,null,"/books/OL45288073M",130,"137",233,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Exotic overlays","how to get big payoffs from the Pick Six, the Pick Three, exactas, trifectas, doubles, and superfectas",null,"xii, 223 p. :",null,null,null,null,null,"1566250641",null,null,"96019797",null,null,"English",null,null,null,"1902849","/books/OL982170M",45,"138",46,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Sejong kwa iyagi hada",null,null,"131 pages",null,null,null,null,null,null,"9791155654767",null,"2015477115",null,null,"Korean",null,null,null,null,"/books/OL30861156M",30,"139",103,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Adéntrate en la Ciberseguridad","Un Libro Sobre Carreras en Ciberseguridad para la Próxima Generación",null,null,null,null,null,null,null,null,"9798991175807",null,null,null,null,"English",null,null,null,null,"/books/OL53361950M",30,"140",167,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Conquerors",null,null,"46p. :",null,null,null,null,null,"035605828X",null,null,null,null,null,"English",null,null,null,"12467043","/books/OL19220470M",45,"141",146,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Animal Biology and Care",null,null,null,null,null,null,null,null,null,"9781118874967",null,null,null,null,"English",null,null,null,null,"/books/OL33963473M",130,"14",60,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Henry Lawson",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL43282158M",10,"102",114,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Communists and the people",null,null,"48 p. :",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL17842997M",110,"142",67,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Regional Policy in the Southern African Development Community",null,null,null,null,null,null,null,null,null,"9781032459431",null,null,null,null,"English",null,null,null,null,"/books/OL51050058M",130,"36",6,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"From Hell To Salvation",null,null,null,null,null,null,null,"2.9 ounces","1413761534","9781413761535",null,null,null,null,"English",null,null,null,"1778825","/books/OL8439934M",165,"143",183,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Intermediate Accounting 15E Volume 1 and Volume 2 F/CSCC with Problem Solving Survival Guide Volume 1 Set",null,null,null,null,null,null,null,"4.184",null,"9781118970379",null,null,null,null,"English",null,null,null,null,"/books/OL40029487M",130,"14",191,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Polish Breed of Poultry (National Poultry Library)",null,null,null,null,null,null,null,null,"1857363930","9781857363937",null,null,null,null,null,null,null,null,null,"/books/OL12010048M",150,"144",209,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Santa Rogelia",null,null,"xv, [1], 188 p. incl. front. (facsim.)",null,null,null,null,null,null,null,null,"41008099",null,null,"Spanish",null,null,null,null,"/books/OL6416851M",10,"145",222,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Detective Short Stories - November 1937",null,null,null,null,null,null,null,"9.1 ounces","1597981133","9781597981132",null,null,null,null,"English",null,null,null,"2001950","/books/OL8896604M",165,"146",48,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Redemption",null,null,null,null,null,null,null,null,"1480932094","9781480932098",null,null,null,null,null,null,null,null,"12057253","/books/OL34910608M",65,"147",175,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Planung von Universitätskliniken","Studie zum Aufbau einer Datenbank",null,"50 p.",null,null,null,null,null,"3407154097",null,null,null,null,null,"German",null,null,null,null,"/books/OL50460381M",30,"148",152,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Der Wert der Profundaplastik für Risikopatienten bei inoperablem Arteria femoralis superficialis-Verschluss",null,null,"52 p.",null,null,null,null,null,null,null,null,null,null,null,"German",null,null,null,null,"/books/OL53777390M",100,null,229,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Towards disaster","the Greek army in Asia Minor in 1921",null,"xv, 304 p.",null,null,null,null,null,null,null,null,"30032698",null,null,"English",null,null,null,null,"/books/OL6751411M",10,"149",42,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"I Want to Draw Horses",null,null,"24",null,null,null,null,null,null,"9781508167914",null,null,null,null,"English",null,null,null,null,"/books/OL38876549M",130,"42",41,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Silo!",null,null,"140",null,null,null,null,"0.177",null,"9781329821231",null,null,null,null,"English",null,null,null,null,"/books/OL40057077M",30,"59",140,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Druglas Arizona","How a 13 Teen Year Old Made It Threw Life and Sit down Two Explain It",null,"29",null,null,null,null,"0.082",null,"9781793124463",null,null,null,null,"English",null,null,null,null,"/books/OL41202826M",30,"4",196,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Appraising Personality",null,null,null,null,null,null,null,null,"0415210593","9780415210591",null,null,null,null,"English",null,null,null,"4623504","/books/OL7486670M",65,"36",102,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Ecstasy island",null,null,"184 p.",null,null,null,null,null,null,null,null,"99604581",null,null,"English",null,null,null,null,"/books/OL24517569M",10,"150",72,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Vraies Princesses Sont Nées En 2003","Cadeau Anniversaire 17 Ans, Beau Carnet de Notes, Femme, Fille, Carnet 17 Ans, Princesse Are Born en 2003, 17 Ans Idée Cadeau, Cadeaux Personnalisés, 100 Pages",null,"100",null,null,null,null,"0.205",null,"9798573309989",null,null,null,null,"English",null,null,null,null,"/books/OL49064760M",30,"4",94,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"John Howard's ... Nachrichten von den vorz©ơglichsten Krankenh©Þusern und Pesth©Þusern in Europa","Nebst einigen Beobachtungen ©ơber die Pest und fortgesesten Bemerkungen ©ơber Gef©Þngnisse und Krankenh©Þuser",null,"xvi, 616 pages, 2 unnumbered leaves of folding tables, 5 leaves of folding plates :",null,null,null,null,null,null,null,null,null,null,null,"German",null,null,null,"7973658","/books/OL26301578M",125,"151",228,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Posledniĭ sekret",null,null,"402 pages ;",null,null,null,null,null,"5790546935","9785790546938",null,null,null,null,"Russian",null,null,null,"8127558","/books/OL26421342M",65,"152",210,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Posledniĭ sekret",null,null,"402 pages ;",null,null,null,null,null,"5818906973","9785818906973",null,null,null,null,"Russian",null,null,null,"8127558","/books/OL26421342M",65,"152",210,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Yamashiro kara Yamashiro e","Yamashiro sento e no michi : tokubetsuten",null,"61 p.",null,null,null,null,null,null,null,null,"95459601",null,null,"Japanese",null,null,null,null,"/books/OL31406978M",10,"153",79,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Original Fun Pad Jumbos Packed with Things To Do (G6804-4)",null,null,null,null,null,null,null,null,"1590603680","9781590603680",null,null,null,null,null,null,null,null,"14503755","/books/OL46922590M",165,"154",162,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Reference book and California Real Estate Act.",null,null,"3 v.",null,null,null,null,null,null,null,null,"40022714",null,null,"English",null,null,null,null,"/books/OL6406319M",110,"155",153,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Whig party 1807-1812.",null,null,"453p.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL18676049M",10,"156",68,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Fransız belgeleriyle Sevr-Lozan-Musul üçgeninde Kürdistan",null,null,"207 pages",null,null,null,null,null,null,null,null,null,null,null,"Turkish",null,null,null,null,"/books/OL52635557M",10,"157",25,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Condam","Draft Your Own Safety Plan",null,null,null,null,null,null,null,"1898383456","9781898383451",null,null,null,null,null,null,null,null,"14453623","/books/OL40284197M",65,"158",10,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Film und Geschichte","Produktion und Erfahrung von Geschichte durch Bewegtbild und Ton",null,"152 pages",null,null,null,null,null,"3865052398","9783865052391",null,null,null,null,"German",null,null,null,null,"/books/OL44434204M",50,"159",198,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Village of Peninsula","Its History, Structures and People",null,"154",null,null,null,null,null,null,"9781105174605",null,null,null,null,"English",null,null,null,null,"/books/OL48292216M",130,"59",85,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Kompozitory mogucheĭ kuchki o programmnoĭ muzyke","Izbrannye otryvki is pisem, Vospominaniĭ i kriticheskikh stateĭ",null,"185 pages",null,null,null,null,null,null,null,null,null,null,null,"Russian",null,null,null,null,"/books/OL52302362M",10,"160",166,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Diary of a Minecraft Enderman","An Unofficial Minecraft Book",null,"80",null,null,null,null,"0.141",null,"9781520194219",null,null,null,null,"English",null,null,null,null,"/books/OL40680746M",130,"4",165,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Peasant life in Old German epics","Meier Helmbrecht and Der arme Heinrich",null,"184 p. :",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL23773454M",110,"161",179,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Nouvelles orientations des politiques sociales pour une société en mutation","éléments de diagnostic et de solution.",null,"71 p. ;",null,null,null,null,null,"255117127X",null,null,"97205035",null,null,"French",null,null,null,null,"/books/OL298403M",130,"162",219,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Diena stipresnė už naktį",null,null,"103 p., [16] p. of plates :",null,null,null,null,null,null,null,null,"81208708",null,null,"Lithuanian",null,null,null,null,"/books/OL3881413M",10,"163",130,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Liberalism without secularism?","Rachid Ghannouchi and the theory and politics of Islamic democracy",null,"70 p. ;",null,null,null,null,null,"1856075613","9781856075619",null,"2007532896",null,null,"English",null,null,null,null,"/books/OL16442352M",50,"164",174,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"ship that changed the world","the escape of the Goeben to the Dardenelles in 1914",null,"252 p., [8] p. of plates :",null,null,null,null,null,"034035027",null,null,null,null,null,"English",null,null,null,null,"/books/OL22118228M",130,"165",172,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"King Solomon's Mines",null,null,"276",null,null,null,null,"0.800",null,"9781976966217",null,null,null,null,"English",null,null,null,null,"/books/OL40762037M",30,"4",40,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Adéntrate en la Ciberseguridad","Un Libro Sobre Carreras en Ciberseguridad para la Próxima Generación",null,null,null,null,null,null,null,null,"9798991175814",null,null,null,null,"English",null,null,null,null,"/books/OL53361943M",30,"140",167,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"herida luminosa","en tres cuadros y un epílogo",null,"95 p. ;",null,null,null,null,null,null,null,null,null,null,null,"Spanish",null,null,null,null,"/books/OL18002422M",10,"166",111,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Studien zur Geschichte des Bistums Chur (451 - 2001)",null,null,null,null,null,null,null,null,"3727813660",null,null,null,null,null,"German",null,null,null,null,"/books/OL22508313M",30,"167",90,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Erotic Performance and Spectatorship",null,null,"196",null,null,null,null,null,null,"9780367375102",null,null,null,null,"English",null,null,null,null,"/books/OL34667742M",130,"35",131,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"18 Ans !","Joyeux Anniversaire",null,"49",null,null,null,null,"0.123",null,"9781090743183",null,null,null,null,"French",null,null,null,null,"/books/OL41013108M",30,"4",143,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Conquerors",null,"Brief accounts of the exploits of nineteen leaders, including Alexander the Great, Cortez, and Napoleon, who, through intelligence and determination, and, in some cases, ruthlessness, victoriously expanded their territories.","45, [1] p. :",null,null,null,null,null,"0382066464",null,null,"82080195",null,null,"English",null,null,null,"9645520","/books/OL3513589M",70,"168",146,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The ragiad","a poetical discourse on rags ; with occasional flashes at men and things",null,"2 v.",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL17514853M",10,"87",18,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Welche Strategien Können Zur Gesprächssteuerung Eingesetzt Werden?",null,null,"36",null,null,null,null,"0.064",null,"9783656647850",null,null,null,null,"German",null,null,null,null,"/books/OL49498804M",30,"169",97,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Local knowledge for food security","selected papers on experiences from Tanzania",null,"vi, 74 p. :",null,null,null,null,null,null,null,null,"00379178",null,null,"English",null,null,null,null,"/books/OL6863840M",110,"170",192,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"This is racing","tactics and strategy in action",null,"xii, 179 p. :",null,null,null,null,null,"0245530703",null,null,"77361654",null,null,"English",null,null,null,null,"/books/OL4598869M",130,"171",186,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Malenkoe Prividenie",null,null,null,null,null,null,null,null,"5850661190","9785850661199",null,null,null,null,null,null,null,null,null,"/books/OL50300155M",40,null,127,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"THE RED WEB",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL43277507M",100,null,96,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Taschendiebe und Gewichtheber",null,null,"150",null,null,null,null,"0.173",null,"9788490156735",null,null,null,null,"English",null,null,null,null,"/books/OL35896981M",30,"172",204,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"A Faculty for art","Kelly Detweiler, Susan Felter, Sam Hernandez, and Gerald Sullivan, S.J. : De Saisset Museum, Santa Clara University, April 9-June 12, 1988.",null,"1 v. (unpaged) :",null,null,null,null,null,null,null,null,"93109708",null,null,"English",null,null,null,null,"/books/OL1455374M",110,"173",52,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Puppy Dog Pals JUMBO Coloring Book","Coloring Book for Kids and Adults",null,"62",null,null,null,null,"0.214",null,"9781791649944",null,null,null,null,"English",null,null,null,null,"/books/OL40971563M",130,"4",100,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Academy, 1998 Winter Meeting.",null,null,"1 v. (various pagings) :",null,null,null,null,null,null,null,null,"98153912",null,null,"English",null,null,null,null,"/books/OL442094M",10,"174",49,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Canada and the United Nations, (National studies on international organization)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL43283949M",100,null,115,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Murder on the Island (a Belinda Lawrence Mystery)",null,null,"218",null,null,null,null,"0.241",null,"9781925442038",null,null,null,null,"English",null,null,null,null,"/books/OL38374001M",130,"175",91,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Spirituality in Speech (In Marathi)",null,null,null,null,null,null,null,null,null,"9789386321756",null,null,null,null,null,null,null,null,"9885776","/books/OL26668156M",145,"176",118,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Venemaal rahvuskaaslasi küsitlemas","folkloristliku välitöö metoodilisi aspekte",null,"158 p.",null,null,null,null,null,"9949111390",null,null,"2006363264",null,null,"Estonian",null,null,null,null,"/books/OL31708668M",30,"177",223,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Woordvogel. Gedenkschriften van een nomadische romanfiguur",null,null,null,null,null,null,null,null,"905759188X","9789057591884",null,null,null,null,null,null,null,null,"13577800","/books/OL47166253M",55,null,159,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Whig Party, 1807-1812.",null,null,"453p.,23cm",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL19325845M",10,"178",68,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Time of the Mango Flowers",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL40283467M",100,null,70,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Zones of Anxiety","Movement, Musidora, and the Crime Serials of Louis Feuillade",null,"208",null,null,null,null,null,null,"9780814337370",null,null,null,null,"English",null,null,null,null,"/books/OL48212312M",130,"52",188,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"ABC Puppy Book",null,null,null,null,null,null,null,null,null,"9781320083782",null,null,null,null,"English",null,null,null,null,"/books/OL51855352M",130,"68",121,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"I meccanismi dell'equilibrio delle strutture murarie","lezioni di statica delle costruzioni in blocchi lapidei",null,"68 pages",null,null,null,null,null,"8875973245",null,null,null,null,null,"Italian",null,null,null,null,"/books/OL52303893M",30,"179",126,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
