title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,last_created_by,last_created_at,last_modified_by,last_modified_at
'Animal Biology and Care',null,null,null,null,null,null,null,null,null,'9781118691045',null,null,null,null,'English',null,null,null,null,'/books/OL29166365M',130,'36441','5748544','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Changes in the protein metabolism of the CNS of a teleost following stimulation of the lateral-line organ',null,null,'p. 249-260.',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL53753505M',100,null,'2917168','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Developing worker co-operatives',null,null,'44 p. --',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL18346742M',10,'574088','16817509','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Charming Up Profits',null,null,null,null,null,null,null,'7 ounces','1863511717','9781863511711',null,null,null,null,'English',null,null,null,'7916796','/books/OL12063624M',165,'72267','5735363','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Werner Elerts Apologetisches Frühwerk',null,null,'XIV, 376',null,null,null,null,null,null,'9783119164191',null,null,null,null,'German',null,null,null,null,'/books/OL50578065M',30,'36784','6216050','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'From the Ashes','2020/2021 NUIG Writer's Soc Annual Publication',null,'58',null,null,null,null,'0.136',null,'9798739857484',null,null,null,null,'English',null,null,null,null,'/books/OL42597964M',130,'37241','16597059','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Zones Of Anxiety','Movement, Musidora, And The Crime Serials Of Louis Feuillade (Contemporary Approaches to Film and Television)',null,null,null,null,null,null,'13.4 ounces','0814328555','9780814328552',null,'2004013600',null,null,'English',null,null,null,'2649215','/books/OL11353229M',165,'25486','16664287','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Nowe media w komunikacji społecznej w XX wieku','antologia',null,'689 p.',null,null,null,null,null,'8388164899',null,null,'2005356918',null,null,'Polish',null,null,null,null,'/books/OL31648654M',130,'106984','8165007','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'I Want to Draw Horses',null,null,'24',null,null,null,null,'0.332',null,'9781508167907',null,null,null,null,'English',null,null,null,null,'/books/OL38873949M',130,'2272','8034526','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Smiley Snake',null,null,null,null,null,null,null,'2.4 ounces','0898680433','9780898680430',null,null,null,null,'English',null,null,null,null,'/books/OL11335238M',50,'2034','5738154','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
